manufacturer,Model,Condition,Listing ID,Update,Year of construction,Mileage,price,ville,pays
SCANIA,R460 SUPER PTO+HYDR. LED,good (used),A214-86-957,2026-03-14,2024,123153,94900,Vuren,Netherlands
DAF,CF 450 SPACECAB ALCOA'S,good (used),A214-86-882,2026-03-12,2020,928314,15950,Vuren,Netherlands
DAF,XF 480 4X2 2xTanks ACC Euro6,used,A215-08-652,2026-03-14,2022,370100,45400,Dortmund,Germany
DAF,XF 480 4X2 2xTanks ACC Euro6,used,A215-08-642,2026-03-15,2022,398271,45400,Dortmund,Germany
DAF,XF 480 4X2 Retarder 2xTanks Standklima ACC Euro6,used,A215-08-637,2026-03-14,2021,505324,33900,Dortmund,Germany
DAF,XG 480 4X2 Retarder 2xTanks Standklima ACC Euro6,used,A215-08-592,2026-03-14,2022,320348,52900,Dortmund,Germany
Iveco,S-Way 500 4X2 NEW! HPEB 2xTanks Standklima LED ...,new,A215-08-307,2026-03-14,2026,240,82900,Dortmund,Germany
Iveco,S-Way 500 4X2 NEW! HPEB ACC Navi Mirrorcams Euro 6,new,A215-07-677,2026-03-14,2026,494,81900,Dortmund,Germany
DAF,XF 530 4X2 SSC Retarder Hydraulik 2xTanks Stand...,used,A215-00-902,2026-03-13,2019,518157,28900,Madrid,Spain
Scania,S500 4X2 NEW! Retarder Full-Air 2xTanks LED ACC...,new,A214-99-452,2026-03-13,2026,8,124900,Madrid,Spain
Mercedes,Actros 1848 4X2 NEW! ProCabin-Big 2x tanks Reta...,new,A214-99-432,2026-03-13,2025,69,107900,Madrid,Spain
Ford,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,A214-89-487,2026-03-12,2023,239140,34400,Veghel,Netherlands
Ford,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,A214-89-462,2026-03-12,2023,241120,34400,Veghel,Netherlands
Ford,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,A214-89-427,2026-03-12,2023,152714,37400,Veghel,Netherlands
DAF,XF 460 XF 4X2 SC MX-enginebrake Euro6,used,A214-89-312,2026-03-12,2014,590450,12900,Veghel,Netherlands
Volvo,FH 460 4X2 XL Hydraulik Full-Air TC I-ParkCool ...,used,A214-89-077,2026-03-12,2023,175635,79900,Veghel,Netherlands
MAN,TGX 18.460 4X2 XLX Retarder ACC 2x Tank,used,A214-88-932,2026-03-12,2018,534132,16900,Veghel,Netherlands
Scania,R450 4X2 Retarder 2xTanks Standklima,used,A211-56-012,2026-03-12,2016,882560,22850,Veghel,Netherlands
Scania,R450 4X2 COMING SOON! Mega Retarder 2x Tanks,used,A214-88-527,2026-03-12,2021,477249,54900,Veghel,Netherlands
Renault,T 460 6X2 NL-Truck Liftachse,used,A214-87-287,2026-03-12,2015,614296,18900,Veghel,Netherlands
Scania,R660 Tractor unit with hydraulics,used,A213-64-662,2026-03-03,2024,95000,195331,Nordland,Nordland
DAF,XF 480 XF 4X2 Defects - Truck is driveable,used,A211-49-837,2026-03-12,2018,982266,8900,Veghel,Netherlands
Renault,T440 / ADR / Stand Airco / PTO / Good Tires,excellent (used),A214-77-757,2026-03-11,2019,589491,23750,Vuren,Netherlands
DAF,XF 530 SKIRTS INTARDER,good (used),A214-75-002,2026-03-14,2022,369742,53900,Vuren,Netherlands
